ListingKey	Category	APR
4490360189784469931FF42	1	19.03%
2FF83599439493881B345D8	1	16.32%
02993599772256552AE6506	1	18.07%
377B3603361025578CFC21C	1	27.82%
09F23603019450271E7C38C	7	15.82%
09F43600390026511F15804	1	25.28%
7D98360128484509054FAEC	1	14.24%
7DA23600153712277E8CE3F	1	23.44%
6D8E360216577297444221E	1	17.19%
302436009078010465CF98B	1	21.83%
021A3601160728103C2EF48	2	22.14%
2.7136E+21	15	21.69%
400936027697352308B5CA5	7	23.48%
0BD6359845947707814648F	1	7.92%
0B85360278016707413E12E	7	9.07%
02AC3600612459029A062A8	1	21.34%
5C8836009475980489F887F	1	17.69%
402336006865636488A8CC3	1	16.32%
402A35993236388311C6D03	1	15.84%
4051360010680737969EF10	7	21.65%
405435996310545564CBFE9	1	22.77%
30643598860225576CCFF17	1	17.15%
0B8836005525145418F0E2F	1	14.71%
0A04360462561003112926E	1	20.87%
02763599270731945B3768D	1	22.47%
039C3601369087526370514	1	16.66%
6E563600670411369F12E78	1	18.99%
405E36047361023176081DA	7	29.08%
40873601394421606EE1755	1	8.50%
307A3604952309821E66984	1	9.47%
307B359938813239911B34D	1	30.13%
3099360117579043981EB70	1	26.15%
0A453601686351158EA4830	1	22.77%
0B0636023993007556CC935	1	21.65%
03B2360033792330504F2E2	1	14.71%
43EF3599476867457BCAC4C	1	19.50%
6E8E3602559831328E3AF09	2	23.89%
30BC3602851181424CB8783	1	11.55%
0B9A3602057264350537EBB	13	32.49%
03443601529409801F3C1FA	1	16.32%
034D36003303926712D8E2D	1	20.52%
4419360057599959933EC94	1	17.33%
441E3603147607586104D98	1	22.97%
442B3600367232594A5A30B	1	32.45%
37C836037485006544EB1BF	1	14.45%
30F03599090906193BF9A11	1	8.50%
2D2635984503681189056B4	1	14.53%
2D2D3601783369227032D38	1	30.13%
0C163602491439583F6B3D2	1	18.22%
81D93601577452452E161CD	1	18.63%
3818360397824615398C777	1	22.06%
0B0D3602677864788685698	1	19.22%
4B543601271460076B63847	1	14.71%
4B6935999627895644EF4F8	1	17.61%
4B7935996469722228BF698	1	15.84%
39B63600472105033EE62CE	1	21.34%
31323598493142563A11421	2	29.57%
31353604276640199E89F11	1	21.64%
31373605028819093DD9647	1	19.55%
034F36042939816442E1E27	1	18.43%
40143597893566555CEBB59	1	22.55%
401F360204046502794EE5E	1	14.85%
0BC73601281065348133BDF	1	9.43%
31A33602570068688C4522D	1	17.15%
03623602392234489C86C01	1	14.21%
47933600673909327142AA7	1	18.20%
0B4F3602113119712B3825B	15	23.85%
8A793602849222663364C4F	1	24.37%
8A8A3603428594829E51B7D	1	29.08%
31553600452362467C62FB0	1	14.71%
035F36016058571446FD961	1	11.56%
03A83601902537046FBFAB6	1	18.22%
0B7336005199234894F079E	1	14.71%
8A913598493713067CF94C6	1	17.61%
65DB36001474334340C1DB2	15	16.32%
367E36032997310233C2E1E	13	6.73%
36B93598375617307C30841	1	16.97%
31733600619999487DBD6D1	1	22.97%
03EE3600135340273EEAE4E	1	18.99%
02C636031702067312A4123	1	21.69%
351F360329433425589AE4F	13	27.31%
8AE03601546606791EE8BC3	14	9.07%
355735997809285771246FF	1	18.63%
8B3D3601022532212B918BF	1	16.32%
8B4835998735605341F2616	1	26.49%
543C35996185538898E7C88	1	20.04%
035C3603943333005387B23	1	16.18%
03843603168218558AE5996	1	13.73%
63203601731298993B7012B	1	12.73%
3A59360133066583647B22D	1	23.44%
037B35996350139256DC2E9	1	16.66%
4C0A3601632115137D425AB	1	12.08%
5E183600200405361293E92	1	9.03%
0C81360108094584186E327	1	18.99%
036236027492330265AC331	1	9.47%
4C1C3601270451429172A5C	1	20.52%
3AE13602486966404508BD5	1	33.25%
448D3603101186416A98FC9	2	21.35%
733D3598312929037D65E85	1	17.15%
0D23360081780664366335A	1	21.83%
0D483599671729890A0D525	1	16.73%
0D8D3598140351443CC3675	1	18.63%
4C5D3602016248606622FD1	1	12.73%
4C7F3603257341504601AC7	1	11.55%
3B2B3601336514629BB0AAC	1	17.97%
7FEC3598598059121C8FB7F	1	14.71%
7FF43599755039135B943E8	7	19.86%
80023601784017623355D28	18	21.17%
2A623599502545633E593D7	1	14.15%
4CD53601913810467C31C87	1	12.12%
3B603604000208599AF6F99	1	19.54%
2A803598053555196BC0AC6	1	22.77%
2AA136039431268891F2466	1	12.73%
2AA33598237775911653E1A	1	16.66%
46413600863153169440B38	1	20.93%
46493604852200906A50F5B	1	23.38%
8BE63602556466068C1FFC9	1	15.26%
55C5360338805610988E715	1	20.56%
55D73600596004560BB9F1A	1	13.80%
2B813603521376910EA68D7	19	14.45%
2BB63598584004774D65264	1	22.17%
2BB636022659082234A847E	1	7.92%
0C0635990094300060BCE45	1	23.44%
469F3602866600650573832	1	13.23%
97643600115553162AB0FD1	1	15.43%
45CE359914684964756C964	20	33.20%
6.79736E+22	1	20.52%
67BD3604302536264C17304	1	23.38%
0C913601845005680C4699B	1	22.51%
27D335991406924000C5877	1	14.21%
358B360083740637998CDCD	1	9.03%
359F36006583392169BF3F3	2	22.97%
359F360114649253016E579	2	27.78%
0C6036000415689128E6FE2	1	18.99%
28043598521183954DA9F4D	1	18.91%
04BB3601580238348EA6C7D	1	16.30%
6CB93603263712659B9F06C	1	13.73%
460E360192506165712212B	1	16.32%
0D3C35991732747202E6DE0	1	19.50%
0D5836043457814109641B9	1	12.02%
2D19360002688615638767D	1	18.28%
2D2635984503681189056B4	1	14.53%
045E360207132384186369E	1	21.86%
04653600476029690925A1E	1	24.56%
64793601921674033EB513D	1	13.46%
478136031127913970C544E	2	27.82%
29963603762331584ECCF04	1	7.96%
04173599835346537A359E5	1	22.47%
04353599711883060BEC539	1	9.03%
3EC135999257510082F341D	1	13.64%
0CCC3602853153981275B47	1	17.65%
553D3603936359496117287	1	13.12%
5EE23599786278102D7FF0E	7	9.03%
416C360272349770153F375	1	16.99%
0B1F3601718436963EE7CA6	2	9.07%
5EFE3600084609131109326	1	20.35%
741A3599720193590412FAD	1	22.11%
4B013601261366334D264D2	1	16.32%
85CB36002324252533D0564	1	15.84%
428F3600461145739C6C0FA	1	26.15%
0D813602532279854BCFC07	1	18.28%
29AF3601199546614DCA37E	7	12.08%
7427360187662132201019D	1	19.22%
4B0B35996938686264A044E	1	31.67%
47A4359997692151275F30B	7	25.56%
47B3360147386230383D836	1	22.17%
04853601517739021E08D41	7	30.89%
04A33599865755731138EB8	1	22.77%
4B3D359928792766344C701	1	22.14%
47D43599617140824BDBAC0	1	14.21%
28963600854473943E3EE44	1	23.44%
044235982179050966CD719	1	11.56%
054B3600170355869396E8A	1	23.98%
0D743600252433882DF8856	1	17.69%
056B3601835492930A2305E	1	12.12%
80F1359886529811845AD74	1	20.22%
2CA43601668351243F34867	1	18.91%
2BE836020717243239E0AAC	1	13.84%
05C535989794687170BFBD0	1	26.15%
772D35986473637426E925E	15	20.52%
50BE3601114055653F0B461	1	7.62%
2C143599412077018A16643	7	16.97%
0537360205812379068D1EF	1	25.28%
50DC359950436814349C814	2	15.02%
50EA3599789835358F92A07	2	23.27%
46EA3603697699880D0F710	1	18.73%
49523603897709043494A39	1	14.85%
49583602648766812501C18	1	21.17%
28B135997412857097A9666	2	9.43%
69D43602879511646EFE280	1	30.17%
0E7B3601487777030E3A01C	1	18.99%
951936006833299021D0700	15	20.93%
2DF43601669475074C5EE34	1	24.60%
2DF53600052527981268731	1	16.73%
050436012241912471C6A9D	1	12.12%
0506360202922733526CB4A	1	16.97%
36963600551253204A76EFD	1	18.56%
36A63598223796459BF0C18	1	14.15%
36AF3599054841654C4DFC4	1	25.28%
0DE4360357559678852E769	1	19.55%
69D93601561683931B38450	1	9.43%
053C36028365483295EA042	1	22.51%
0D33359962443577190F9C8	1	12.69%
8B1236010810967193CA3A9	1	22.97%
8B133602903116818B03D70	1	25.28%
4A11359998472318658BF4F	1	17.61%
2AB33601280363570AB9125	1	14.21%
2AC33603262761641F467A5	1	13.12%
4BFB36025428674143108A2	1	8.53%
9567360167544586850F659	1	23.29%
4A233598564684862ACF788	1	19.22%
4A2535989569261436AFAF1	2	14.21%
55843599677209184EDC1D7	1	20.68%
2BDE36008371641677F4BC2	1	20.52%
0D143604375501696D3A57B	1	14.04%
05973602960011656FA5D4E	1	13.73%
420A3603641825806775E01	1	9.07%
8B21360030466802800DF01	1	20.81%
4A3C3603628393404F2C8E4	1	14.17%
2BF73599792689420E6B3AE	1	14.71%
0D9A3603112884228398E48	1	17.20%
0FB0360225015323136DFCB	1	20.05%
04F0360046291680498C8AE	19	21.34%
42163600169443344CAE456	11	16.30%
42633600363658384D4CE9D	7	16.97%
2C763599308591195B0C6B7	13	16.73%
2A8636001440084066440C9	1	32.45%
969B359962951074282ED4C	1	18.28%
96A0360230094057044BF4F	1	20.37%
8BD23598796502396F2E284	1	19.50%
869C3600803535605157B75	2	12.08%
4A8B36015284933394777DC	1	12.73%
6928360090124935377AA0F	3	9.37%
2A8D3602367347905DE7DE1	1	32.49%
0E3D3599184555786CE33F1	1	11.50%
0E4B3599965580456E6BC95	1	13.19%
4.20936E+22	1	13.84%
958B3602123644524C3D856	1	12.64%
95A13602168005664DEBA4E	1	6.73%
74FB3603770557412669187	1	19.66%
0DD3360364732675131F305	1	18.73%
2DE93598773974057213C32	1	24.56%
058D360426377197199E9CD	1	20.87%
059D36030238265268C77CF	1	24.81%
05B13599794700818A526DB	1	21.65%
0585359960728100536B6A9	13	34.59%
4B0E3599217731582BA3786	1	12.08%
57B13602007701947CAAFDA	1	15.45%
0E7A36033145227029D4ABD	14	26.19%
2DF1359823079657924F5A4	1	18.91%
4.23736E+22	1	14.21%
425135994277614861A0DE3	1	23.27%
05E23600134479294A3EC55	1	22.11%
95C036029059466865E54D0	15	24.09%
95CB35998238412152019A1	13	19.22%
4B183599945559989F50FF7	1	9.03%
0E1E35997384312315FC109	1	17.15%
2D1F3598870160750C58A9C	1	11.56%
49FC3601827437395414188	3	16.73%
49FD3599365719722640B29	1	14.21%
06103601296043774AB3E9C	7	20.22%
06213599101120625DA6CC2	7	16.97%
0F5436043834705525561A5	1	20.32%
0F623600267753895DF4C2A	1	12.61%
0F7D36000834937599EEEAB	1	21.17%
6AB93599281345523EADE8E	1	29.41%
6845359923581827532BE74	1	17.15%
47B6360321077996360A1FC	1	14.04%
8B703603830319993116B2D	1	21.99%
4B4736016639069808696B3	1	20.07%
4A9C36041494453754D5545	1	15.36%
9FEF3599936320069E6A1F2	3	23.27%
979F36007882654710952E9	1	9.39%
97C335999546693733976B6	1	22.47%
56553598867631238E47BDE	1	17.61%
51693599063677550DC0985	1	16.66%
8BB43601171340828AE0248	1	16.66%
8BB63600977292940236960	1	18.20%
567B360304026571156FDCA	1	15.45%
2B5E360361091546567FF34	1	16.68%
2B693601352205526D60D02	1	15.43%
5173360126412721553BC97	1	18.28%
5177359970460968197211A	1	16.66%
0CAE3601876801763F0308A	1	14.75%
35F43601065700480D1E5D4	1	17.15%
89933602306179151355C96	1	15.43%
601E3601905056759CDF360	7	18.56%
2BD73600109867639AE25F9	20	14.21%
919E36009446275016B8D41	1	20.93%
91B936008010536566BCFBC	1	18.28%
418136027714919286C9C3E	1	18.16%
49343600212640887347B95	1	21.47%
98083602542309035B944A9	1	12.08%
476C36020810600610D2385	1	16.77%
97BA3598522420334D2E26D	1	21.47%
7AA73599062941199C80F3C	1	19.63%
2D0F3603041303509641218	1	28.36%
05D43598011004048F6CF45	1	32.45%
0FDC3598801538736265219	1	16.97%
986F3601385914244DC149B	1	34.59%
4B6D3600926410557E586B5	3	18.94%
4B843599496888425701E6B	7	9.43%
97FA360421942207245F09A	1	12.02%
980035986209756708E4BE8	1	22.55%
98003601325311273827CB8	1	15.84%
9D4D3602844626769E453ED	1	22.17%
2CA73602468296710A52208	1	14.71%
2CA73602698536908604D32	20	18.28%
2CAB3601915314661AF4964	1	15.84%
785435989488697670C905A	1	16.32%
0EC635996277177307FBAB0	1	12.08%
0EC636008724117786E2234	1	19.50%
0F30359974155878951BD71	1	14.21%
498935999884593359E3F92	1	25.28%
068536040744904670465CC	1	24.81%
985B3601157670084CA7FC6	7	14.75%
86FA3601319774891B207DE	1	31.67%
2CC635992822257244BF921	1	16.99%
49A93603220155137F332C3	1	18.16%
49AC359947727549687A7ED	1	15.22%
58AD36006599968087B98CF	20	15.84%
7C6E360085620205490F5B3	7	18.28%
415D360013855545794BF0D	19	16.66%
0F2B359895308426319E1FF	1	23.44%
988935998439792995BD744	1	22.14%
98903601123023030C6A08D	1	22.11%
0688360074823076569EC34	1	30.13%
068C3598870677122491333	1	12.69%
0F483603221219032FA9BF9	1	16.84%
9D6D3600818310699E7A251	7	16.32%
873F3602119606931ACC0BF	2	15.26%
29B635997778205429836D9	1	14.71%
696B360463984945609D03B	20	19.86%
4A6F36033418288841BB60E	1	12.73%
98AB36026637553639392DA	14	20.37%
487E36006726969571BB95E	1	14.85%
4887360028068162501F656	1	7.92%
0F8236007529945594186AA	1	9.03%
29E8360094477009872C3BC	1	17.15%
697D3600654440857E58B22	1	17.69%
4AA33603560079644931327	1	15.45%
4AA936000385251100A9078	1	14.71%
98DE36032372735386B641F	3	12.64%
99283600101301736E54FF2	1	29.57%
9941360010631472131F80C	1	24.37%
A03136009253430728BC844	1	13.86%
2A453604915426706C59387	1	19.14%
578D35986523954337E1DCC	1	21.83%
579D3603878492952AB1843	1	20.46%
4AC435984799514174E1215	1	14.71%
4ACE36038671029316E6CB9	1	21.35%
070B3602773714234EA4037	1	20.97%
510F359995543823042054A	1	19.50%
82CB3601861763468FAFFC0	1	7.96%
A08035996379703296BCA41	1	30.13%
6140360502840052368FDB2	1	17.71%
94B136022621944642A0C74	1	13.80%
998D3599730690143DE2233	13	14.71%
A0CC3604972545499E6315A	1	21.18%
2C46360152897470792C424	1	20.52%
4B49360085813065490DEEC	1	23.44%
4B58360379458707016957E	1	18.16%
76193599178667403ADE932	1	9.03%
763336010934302493055AD	1	14.75%
7.67E+26	1	17.69%
0DCB36018578537796D74FA	2	18.91%
99C23601033693199B527EF	3	16.66%
A0D53599101956402A0CC80	1	7.92%
2C7D3599649226084D8A865	1	14.71%
49263600989479477B0A101	1	18.63%
82CE3603017172711E8A169	1	18.67%
791536015061444389546DB	1	14.71%
7.2836E+21	1	22.15%
4C6D36017901441369A4E5E	1	21.69%
109E3599774972868A632A2	1	14.71%
94C23600797806542E9E0FC	1	21.83%
94F5360236548152723C8D1	1	24.56%
2C9C360373370230907A400	18	9.07%
492E36000037334250F65BB	2	22.55%
79393602310262573D34478	1	13.23%
06DD3599339536752D3731D	2	9.43%
99823603034910536F91451	1	17.65%
9CED36015635748448B5358	1	14.71%
2CCD35997340311367FAB8F	1	15.84%
40B43603720340976DD4E6B	1	13.12%
07853602839034701961BA8	1	33.25%
079B36021896159010CC2A4	2	16.33%
079E3600288944796458DAC	20	17.61%
4CDF36015451476456FCD7D	16	16.73%
4CDF360329748602560A49B	3	28.12%
42C436032984995895D9E66	2	19.54%
95343598953989003E78AA1	7	17.61%
2CF3360328956791021C10E	1	9.07%
761D3601090811615F4E064	1	14.71%
073836018173727424F8552	1	11.56%
073B3599016347421B942BD	1	9.03%
074B3602192484995EC8158	1	16.36%
42CD36000210675543AE6DA	2	15.22%
957E3598622956506BC184D	7	17.69%
4127359756306023240E55B	1	11.56%
10D3360217156331185055A	1	19.25%
69F6359937842542371CA2C	13	15.02%
07FD3602834284197154A40	1	12.02%
43353599889412617BED5D9	1	17.61%
435035989741559456ED51D	6	23.44%
99F4360053876760774C572	1	26.86%
39513602733204681DF7327	1	18.22%
1093360216371539225C3E0	1	21.83%
10B836013920944805FC3AF	1	21.69%
95EC36021202641351EF13B	1	19.90%
7E083602089896949AD8279	1	12.63%
7E1B3602837904172C29E3A	1	22.30%
43CB359867080879307B80A	18	27.31%
43DC3600908556897BC6535	1	20.07%
9A703601796132554C0AD33	1	9.03%
7B583599268763370B515C5	1	16.32%
7B633599502756962FED4A8	1	11.56%
31B8360054573338082BC74	1	25.08%
6CE4359895337667328A688	1	9.43%
07B136018010408264FAFFF	1	24.56%
07B43601439876148830C89	1	24.86%
920C36010572934965BD3C7	2	11.50%
9AD036003406653195BB480	1	30.85%
39EE360002947452162F3F9	1	28.13%
101936003849446725F2E71	1	23.98%
6212360054843959762F8DB	1	14.15%
07323600903495319B4A00B	1	19.50%
38933602285573497AAEAD2	3	13.80%
3A0036024230733851D280F	1	12.73%
0EDD36044744241471FE7F1	14	9.39%
9AE2359832292655291C9BA	13	28.60%
07623600376789542A11C08	1	12.69%
078236033014154850FC942	19	18.31%
07843602830403801A5E1F2	18	20.87%
36D13599672506130599C31	1	15.43%
9.27236E+22	3	18.67%
323335992747988585419B2	1	14.71%
324035993143750633A2CFE	1	14.21%
3A583600504291120079573	7	19.86%
960F36011384739540DF03B	1	18.28%
961E36015325196369B4DA0	1	18.31%
36EB360112400939558E1B1	1	9.03%
37193601912679115A2FCB7	1	12.64%
839C3601487564001B17090	1	25.28%
9483360350535658613B378	18	22.30%
3A7A360334931427866D81C	1	18.73%
8CB736017582735823908A3	1	8.50%
07EE3600343473137A0D7BA	1	16.73%
7A79360430358532073AC85	1	13.12%
3AC636000698369291668CA	1	25.28%
9A4A36004039348126F769C	1	27.82%
38C33604419596510E218F0	1	18.43%
08323604402974779ACE4DC	3	30.38%
083435987524591225B6CE7	7	15.02%
7A8E360163782718915DB02	1	16.30%
6A963601483788388A4DA7B	1	23.85%
94E3360465229751741D81A	1	21.65%
2E1D3598290847088A580F4	1	15.22%
3AD63598974038876CDD261	1	20.93%
3B093601116141885404DFF	1	13.64%
963536021740700338D04B7	7	11.55%
964E3601750443419BCB638	1	9.07%
10113599302910337A52414	3	32.45%
082536031406058565B5B41	1	18.73%
592B3600036842657B81DE5	1	12.08%
59393600694623205FB91FE	3	31.67%
3B1336031857766219F1993	1	19.39%
7917360018249557241DA4A	1	25.28%
793036012912367820AED5C	1	20.52%
11293600310158771D5B84C	1	13.64%
8.6536E+21	1	18.07%
2EE83598772714946F026CA	1	14.71%
329336020575838155233FE	1	8.53%
4BBF36027180698368F767A	1	20.52%
4BCA3602307901860C0B958	1	11.60%
77C2360172150135898CEFB	1	18.16%
32C136029808383990AD42D	7	18.52%
093B3602719402263C284F8	1	20.97%
77C635996392400291930A3	1	14.71%
77CB36036574008029D27C7	7	21.64%
95C936008345430891B58A5	1	9.03%
95DE3599329218794E2F7BC	1	17.61%
33033599932538058D2FCC8	7	22.77%
587535981237002060AAAAB	1	22.77%
588036017385662330D58EB	2	32.49%
969B36032799164197F3536	1	14.24%
9C433601577398307ED68CC	1	15.26%
9C623602426236395388A83	1	7.96%
4C123598726430317ECCDB8	1	16.66%
086B3601120378667302ED2	14	16.66%
6B1836010733368706515DD	13	19.50%
6B1D36012236013483F930B	1	15.43%
6B2D3603259815119E604EA	20	22.17%
5A233604269897686155433	1	19.86%
95F935984792157063E5317	1	27.78%
960536001764485030180EA	1	16.97%
30DF3601555272592F1C790	1	15.22%
9C773600647105781EBE6E1	7	20.52%
9C8E36013531213106C4666	1	30.85%
9C8E36023086661774223F7	1	15.45%
9CA13603929735774E69F50	1	16.18%
9CBD36016274951065BA9C7	2	16.32%
086D359960132128918BB70	1	12.69%
08793601639273732AAADAA	7	13.23%
08DD360033413146985D8E5	1	34.59%
090C360234307459397D40C	7	9.07%
9D6236006443506345ECD11	1	12.69%
67CD3603420079993E5F0E8	1	18.07%
4C7D36042579543768BFE00	3	14.94%
08923601791359341C2B515	1	15.26%
67E135990309974936DCF18	1	7.92%
089136010759436911B4638	7	12.08%
08A2360396010700559D508	1	21.35%
086C360106314279648E03B	1	18.20%
088C360114110732663D147	7	18.99%
A2C0360389788188590BBDA	1	24.09%
997F36028944717872251D6	1	12.12%
2E163600399771685545B5E	14	19.50%
3D3336038923041220E9D55	2	25.68%
094836001169529012B56DF	1	18.28%
3D5536046959682981656A6	7	31.98%
096136007183174728E9B54	6	14.21%
094536004972076114143C0	1	20.52%
9D8736010524728683BBA8C	1	11.60%
9DA036009892816696BC531	1	16.32%
4D2436036689317481B4B8C	2	23.50%
4D2735998022035591DD850	1	18.99%
4D403600345055170C2257D	1	11.56%
4D5636045337675216A930E	7	16.18%
092E3603580685041950161	1	12.54%
008B3600524843455E61C85	20	9.39%
00A13600708181517A9BE48	1	24.56%
00A436030812162595E97F4	1	17.19%
084B35999884747294A3AC2	1	15.04%
084C3604348574579C39310	1	11.55%
086136010779658551F35BF	1	22.11%
3D4236018646482677CF551	18	16.30%
42B036001242681794C4A61	1	15.22%
42B036009777035711DBB5D	1	13.80%
A2B73604004505708F6E871	1	18.52%
A2C23603605301659A0E4AA	1	15.82%
A2DE3598957412209914F83	1	17.15%
00863604179437128DD9A2B	1	19.03%
84B83599202295408756C1E	1	16.32%
08A73603421890951B32E67	19	19.03%
58CE3600341742751556A46	7	22.11%
6E7B3603102015670B86120	1	30.89%
7B8636004813119508C55B4	2	16.68%
7B8D36012370438272E0CD3	7	19.03%
2F823602605937747B7070E	1	22.15%
2F8936021813476886847D6	1	28.85%
2FAA36048617908344EC924	1	15.85%
6E7F3598810609278A3BEB4	1	6.73%
6E9E3602864474713ABF901	1	9.07%
CF3135987441709756FFC4F	1	16.66%
6B9A3603449492366C242B6	1	12.02%
2FBE3599045591589842DE1	1	18.99%
2FE036012575086375B98E5	1	23.27%
44F2359916710817662AA4C	1	22.77%
4FAC360365053919082BF9B	2	10.95%
8BFD359817030285906D864	1	12.08%
07B93599664982207B75126	1	15.22%
083F35994437597374F8305	1	7.92%
084536008766494341C17A9	1	22.14%
6EB23600371105161FF3533	2	14.71%
965D3602041207050F33623	1	23.48%
5A1236017156878818E6EC6	1	15.84%
5A183603198313135FFB0EB	1	11.60%
5A223603033633728D04C75	1	22.58%
09A83599690929068F74268	1	14.71%
8C5E3598913770578FC1E1D	1	23.98%
88EE3603233640948862DD7	1	17.19%
007A36021719579424AFB89	1	20.05%
7D393603296286301EC047A	1	23.17%
008736034269259128AC6C7	1	17.80%
00A33599552674619D03AD7	1	19.25%
2E72360013471964193C5DC	2	9.43%
2E873602422391544D27489	1	14.75%
7D54360092121334400ADD4	1	15.43%
78D43602724435427CF982C	1	20.37%
5182360326742668515FA98	7	21.19%
096D3602186595224F023C2	7	18.22%
A0AF3599317256567F90EA9	1	16.30%
A0B43600121694242CE80A4	1	18.20%
009336033005310837B7B79	1	14.24%
2EA23602687105257DFF803	7	16.69%
78F0360313956206210291A	2	24.81%
6BD936020881636815B9783	1	16.32%
6C0A3601073884357F1F337	1	16.32%
6C1B36005336309220EA02F	1	15.22%
0A3335990327517052BC130	1	13.80%
54CA360269703738724BA18	1	23.48%
695F3599010221058F582E3	7	12.69%
9DD135991132154168F554E	1	23.44%
2FFB36000841328799188E9	3	13.80%
5EC0360247585260886D6B4	7	13.64%
5A1F3599903090310197D80	13	13.23%
0A3B36013327145094A0F59	3	15.22%
0A443598161076010F2909D	2	15.84%
6C3B3602702222550DA59F9	1	16.32%
A38D3600456387712699E51	1	17.61%
9DFC3603995977060FF0658	7	15.04%
9E0A36002054241741EB7B7	20	30.13%
ED743599465868971A2E458	1	29.41%
0A5136025661380504E86AC	6	24.88%
09063600043574726705FD0	1	22.11%
2D5D3600727151396B79106	1	19.86%
5B653602027877124A4060F	7	15.87%
7F6D35997192433197B391B	1	18.63%
9E1D3600817746753633D28	1	14.21%
09323600455981215BE1CD3	1	17.15%
0098360461900952056DB93	1	29.66%
2D383603494242171742DE6	1	31.20%
2D6236004298519320317E8	16	19.50%
A117360336747470715D46C	1	22.30%
7D11360195649672660852C	7	18.22%
557636015567567341D7C6C	15	20.07%
9E5435998780083276AA7DD	1	16.32%
