ListingKey	APR	Category	Year
4.88352E+21	11.32%	3	2011
4.92358E+21	20.59%	1	2013
5.0636E+21	20.04%	1	2014
5.07353E+21	35.09%	7	2011
5.40342E+21	37.25%	4	2008
5.46E+21	21.37%	1	2012
5.48E+21	18.14%	20	2013
5.5636E+21	12.02%	1	2013
5.59354E+21	35.80%	1	2012
5.61352E+21	35.64%	1	2011
5.6836E+21	12.08%	1	2014
5.83359E+21	22.60%	1	2013
6.02355E+21	31.38%	14	2012
6.03358E+21	35.36%	1	2013
6.06354E+21	35.80%	1	2012
6.24359E+21	20.81%	2	2013
6.33354E+21	13.70%	2	2011
6.42359E+21	12.27%	1	2013
6.50358E+21	12.21%	18	2013
6.60355E+21	28.85%	15	2012
6.74354E+21	6.83%	1	2012
6.88359E+21	24.21%	1	2013
6.9636E+21	26.05%	3	2013
7.23355E+21	24.76%	13	2012
7.2836E+21	22.15%	1	2014
7.2836E+21	22.15%	1	2014
7.3136E+21	20.97%	1	2014
7.3436E+21	19.86%	1	2013
7.49355E+21	28.85%	1	2012
7.63354E+21	35.80%	3	2012
7.65353E+21	35.64%	3	2011
7.75359E+21	19.50%	2	2013
7.88353E+21	35.13%	1	2011
7.8836E+21	20.52%	1	2013
7.94354E+21	35.80%	7	2012
8.02357E+21	28.78%	20	2013
8.02358E+21	13.70%	1	2013
8.11E+21	35.80%	7	2012
8.16341E+21	18.45%	1	2008
8.3036E+21	11.56%	1	2014
8.43357E+21	23.87%	1	2013
8.57354E+21	29.39%	18	2012
8.60359E+21	33.29%	1	2013
8.64E+21	6.73%	1	2013
8.6536E+21	18.07%	1	2014
8.77359E+21	16.29%	1	2013
8.9035E+21	33.10%	1	2011
9.06359E+21	15.83%	7	2013
9.0936E+21	22.55%	1	2014
9.4336E+21	13.80%	1	2013
9.65358E+21	20.08%	1	2013
9.79343E+21	10.54%	1	2008
9.82352E+21	29.51%	1	2011
1.00036E+22	15.22%	1	2013
1.01936E+22	31.03%	1	2013
1.02436E+22	13.70%	1	2013
1.03336E+22	24.28%	1	2013
1.04836E+22	19.65%	1	2013
1.05734E+22	8.18%	4	2008
1.06236E+22	33.29%	7	2013
1.06834E+22	8.64%	7	2008
1.07236E+22	31.85%	1	2013
1.08E+22	23.94%	1	2012
1.07936E+22	16.68%	1	2014
1.08636E+22	22.14%	1	2014
1.09936E+22	28.54%	15	2013
1.10236E+22	33.22%	1	2013
1.13336E+22	28.94%	1	2014
1.13836E+22	35.36%	7	2013
1.14036E+22	33.55%	20	2012
1.14136E+22	18.14%	1	2013
1.17535E+22	27.97%	2	2009
1.19735E+22	29.51%	7	2011
1.19936E+22	11.73%	14	2013
1.20035E+22	9.33%	1	2012
1.20536E+22	18.20%	1	2013
1.20735E+22	30.53%	3	2011
1.22236E+22	15.43%	1	2013
1.23436E+22	13.80%	1	2014
1.23936E+22	22.69%	7	2012
1.25936E+22	15.83%	1	2013
1.27436E+22	24.21%	1	2013
1.29435E+22	31.38%	7	2012
1.33636E+22	25.63%	2	2013
1.33836E+22	19.32%	2	2013
1.35336E+22	19.36%	1	2013
1.38736E+22	23.32%	1	2013
1.39336E+22	13.14%	1	2013
1.41036E+22	15.02%	7	2013
1.41636E+22	17.60%	1	2013
1.41935E+22	16.15%	1	2012
1.42236E+22	9.43%	1	2014
1.43435E+22	22.74%	3	2012
1.43436E+22	27.31%	1	2014
1.45135E+22	24.25%	3	2012
1.48236E+22	26.49%	1	2014
1.49835E+22	11.30%	2	2010
1.52035E+22	29.49%	1	2011
1.56236E+22	22.35%	13	2013
1.56436E+22	32.54%	1	2013
1.57236E+22	24.76%	2	2012
1.57736E+22	28.39%	1	2013
1.59135E+22	30.53%	3	2011
1.59835E+22	7.83%	7	2010
1.60135E+22	15.38%	1	2011
1.60236E+22	27.78%	1	2014
1.60336E+22	22.71%	1	2013
1.60536E+22	20.05%	13	2013
1.60636E+22	15.32%	1	2013
1.60934E+22	15.43%	3	2008
1.62035E+22	18.90%	3	2011
1.62136E+22	17.75%	1	2012
1.65335E+22	10.38%	7	2011
1.65436E+22	23.98%	1	2014
1.68836E+22	18.32%	9	2012
1.69435E+22	18.76%	1	2010
1.70034E+22	18.56%	1	2008
1.71035E+22	24.25%	3	2012
1.71236E+22	34.59%	1	2013
1.73236E+22	15.63%	2	2013
1.77336E+22	20.88%	1	2013
1.77535E+22	27.75%	1	2010
1.78236E+22	8.50%	7	2014
1.79336E+22	13.23%	1	2013
1.79636E+22	20.37%	1	2013
1.83336E+22	35.36%	7	2013
1.84436E+22	28.08%	2	2013
1.86035E+22	35.64%	7	2011
1.86234E+22	13.00%	1	2007
1.86335E+22	41.36%	3	2010
1.88136E+22	17.75%	1	2013
1.88236E+22	13.80%	1	2014
1.89235E+22	8.33%	1	2011
1.89235E+22	29.25%	2	2011
1.90436E+22	20.81%	1	2013
1.91735E+22	27.25%	9	2012
1.94636E+22	13.70%	3	2013
1.95136E+22	21.43%	1	2012
1.95634E+22	9.39%	7	2008
1.98336E+22	15.83%	1	2013
1.98336E+22	26.86%	1	2013
1.98835E+22	12.31%	1	2010
2.03535E+22	35.80%	1	2012
2.03636E+22	20.63%	2	2013
2.07035E+22	35.64%	1	2011
2.10336E+22	20.04%	1	2013
2.11435E+22	11.35%	1	2009
2.13634E+22	14.42%	1	2008
2.14236E+22	18.56%	1	2013
2.15635E+22	23.35%	7	2009
2.21735E+22	17.12%	1	2010
2.21835E+22	35.80%	1	2012
2.23936E+22	31.79%	7	2013
2.25236E+22	19.36%	1	2013
2.25836E+22	19.03%	1	2014
2.27835E+22	30.01%	1	2012
2.28135E+22	27.46%	20	2012
2.28536E+22	28.85%	7	2012
2.28636E+22	23.12%	2	2013
2.29236E+22	20.08%	1	2013
2.29436E+22	23.44%	1	2014
2.30836E+22	32.44%	1	2013
2.33835E+22	34.62%	6	2011
2.34235E+22	29.27%	1	2009
2.34834E+22	16.44%	3	2008
2.34934E+22	36.02%	1	2008
2.36435E+22	39.15%	7	2010
2.36536E+22	15.02%	1	2014
2.38336E+22	21.82%	1	2013
2.40336E+22	28.03%	1	2013
2.40936E+22	35.80%	7	2012
2.42336E+22	14.45%	1	2013
2.43236E+22	20.04%	1	2013
2.45336E+22	19.63%	1	2014
2.47335E+22	12.36%	1	2009
2.49436E+22	26.68%	1	2012
2.49534E+22	24.49%	4	2008
2.52535E+22	35.80%	1	2012
2.53436E+22	12.69%	1	2013
2.59336E+22	20.98%	7	2013
2.60636E+22	16.73%	1	2013
2.61635E+22	16.06%	1	2011
2.63E+22	29.54%	1	2013
2.66036E+22	14.45%	1	2013
2.66335E+22	29.74%	3	2009
2.67935E+22	37.45%	2	2009
2.69736E+22	21.29%	1	2013
2.70236E+22	28.39%	1	2013
2.71635E+22	31.31%	1	2011
2.73835E+22	25.84%	1	2010
2.75236E+22	30.29%	1	2013
2.75736E+22	14.86%	19	2013
2.77636E+22	17.61%	1	2014
2.78235E+22	35.80%	1	2012
2.78334E+22	14.92%	1	2008
2.79236E+22	19.65%	1	2013
2.79336E+22	33.29%	1	2013
2.80535E+22	12.40%	6	2011
2.81534E+22	32.59%	4	2007
2.82634E+22	9.38%	7	2008
2.82736E+22	29.54%	1	2013
2.83736E+22	26.53%	14	2013
2.83736E+22	11.56%	1	2014
2.85835E+22	16.16%	1	2010
2.85935E+22	35.80%	1	2012
2.86634E+22	10.45%	3	2008
2.86636E+22	12.53%	2	2012
2.86736E+22	21.29%	1	2013
2.87236E+22	23.54%	1	2013
2.87236E+22	23.54%	1	2013
2.87735E+22	28.37%	1	2012
2.89236E+22	21.37%	1	2012
2.91635E+22	29.27%	7	2010
2.92234E+22	16.44%	1	2008
2.92936E+22	26.53%	1	2012
2.94535E+22	30.53%	7	2011
2.94735E+22	38.72%	1	2010
2.95935E+22	32.01%	7	2010
2.98236E+22	22.69%	1	2013
3.00835E+22	12.78%	16	2012
3.02535E+22	28.85%	18	2012
3.03434E+22	22.29%	2	2008
3.03436E+22	30.29%	13	2013
3.04436E+22	17.09%	1	2013
3.05636E+22	27.31%	1	2013
3.05734E+22	10.64%	3	2008
3.06636E+22	15.32%	1	2013
3.08034E+22	17.42%	2	2008
3.08535E+22	26.68%	3	2012
3.08635E+22	34.62%	2	2011
3.09135E+22	11.77%	1	2012
3.09536E+22	32.45%	1	2013
3.11236E+22	20.87%	1	2014
3.11536E+22	27.82%	13	2014
3.11735E+22	19.55%	3	2011
3.12136E+22	20.52%	1	2013
3.12935E+22	16.16%	1	2010
3.13434E+22	20.85%	4	2007
3.14336E+22	16.68%	1	2014
3.15136E+22	23.72%	1	2012
3.15536E+22	28.03%	2	2013
3.16936E+22	17.61%	1	2013
3.18236E+22	18.21%	1	2013
3.18635E+22	35.80%	7	2012
3.18636E+22	7.92%	1	2014
3.19034E+22	22.23%	4	2008
3.21734E+22	8.42%	1	2008
3.21736E+22	17.32%	1	2012
3.22136E+22	35.80%	1	2012
3.22136E+22	24.56%	1	2014
3.22435E+22	24.82%	7	2010
3.24135E+22	8.33%	7	2011
3.24334E+22	12.65%	3	2007
3.24436E+22	35.84%	2	2012
3.25336E+22	21.57%	16	2013
3.26136E+22	21.58%	3	2013
3.27434E+22	22.74%	1	2007
3.29436E+22	19.99%	1	2013
3.29436E+22	19.99%	1	2013
3.29736E+22	33.67%	7	2012
3.29736E+22	26.33%	1	2013
3.30636E+22	14.45%	1	2013
3.30935E+22	35.80%	14	2012
3.31336E+22	19.11%	1	2012
3.31736E+22	14.66%	1	2014
3.31835E+22	22.58%	1	2010
3.32435E+22	7.05%	1	2010
3.33536E+22	30.75%	6	2013
3.34935E+22	17.85%	1	2012
3.36135E+22	27.47%	1	2011
3.37636E+22	28.85%	1	2012
3.38434E+22	13.16%	3	2008
3.38436E+22	19.50%	7	2014
3.38936E+22	22.81%	1	2014
3.40E+22	21.57%	1	2013
3.40736E+22	21.34%	1	2013
3.40836E+22	17.52%	6	2013
3.41736E+22	22.60%	15	2013
3.42135E+22	35.80%	7	2012
3.42936E+22	26.49%	1	2014
3.43034E+22	23.50%	1	2008
3.43134E+22	7.63%	1	2008
3.43535E+22	39.46%	7	2010
3.44636E+22	25.28%	1	2013
3.45736E+22	23.87%	7	2013
3.46034E+22	18.16%	3	2008
3.47136E+22	27.62%	1	2013
3.48835E+22	24.70%	1	2012
3.51E+22	15.09%	1	2008
3.51136E+22	27.64%	1	2013
3.51836E+22	31.94%	7	2013
3.52936E+22	16.36%	1	2014
3.54735E+22	7.54%	7	2009
3.55634E+22	11.65%	3	2008
3.56835E+22	29.59%	1	2010
3.57836E+22	22.88%	1	2013
3.58836E+22	22.71%	2	2012
3.59136E+22	29.46%	1	2012
3.60835E+22	15.55%	7	2010
3.60836E+22	12.08%	1	2014
3.61236E+22	27.29%	1	2013
3.62934E+22	17.68%	1	2008
3.63536E+22	32.44%	1	2013
3.67836E+22	29.08%	1	2014
3.67836E+22	29.08%	1	2014
3.68034E+22	17.45%	4	2008
3.68636E+22	35.80%	14	2012
3.69236E+22	15.45%	1	2014
3.69935E+22	8.34%	7	2010
3.69936E+22	26.40%	1	2012
3.70035E+22	30.53%	7	2011
3.71636E+22	18.28%	1	2013
3.72834E+22	28.22%	2	2008
3.72836E+22	23.32%	1	2013
3.74235E+22	13.07%	1	2011
3.74734E+22	19.20%	4	2008
3.77834E+22	16.87%	1	2008
3.78236E+22	18.48%	1	2013
3.78335E+22	25.26%	1	2012
3.78435E+22	24.25%	15	2012
3.78934E+22	27.71%	7	2008
3.79736E+22	22.11%	1	2013
3.80336E+22	20.08%	1	2013
3.81036E+22	16.32%	7	2013
3.81335E+22	29.68%	2	2012
3.81736E+22	14.27%	1	2014
3.82835E+22	19.55%	1	2011
3.85136E+22	12.08%	1	2013
3.85434E+22	12.11%	1	2008
3.92E+22	19.50%	1	2013
3.93936E+22	27.55%	1	2012
3.94136E+22	22.11%	7	2014
3.94136E+22	27.31%	2	2014
3.94336E+22	16.50%	1	2013
3.97135E+22	35.64%	7	2011
3.97736E+22	12.00%	1	2012
3.98436E+22	27.06%	7	2012
3.99236E+22	12.08%	1	2014
3.99536E+22	22.11%	1	2013
3.99735E+22	6.83%	6	2012
4.00136E+22	17.15%	1	2014
4.00336E+22	13.84%	7	2014
4.03235E+22	35.84%	7	2012
4.03536E+22	11.07%	13	2012
4.05935E+22	30.53%	1	2011
4.08136E+22	20.59%	1	2013
4.10436E+22	22.47%	7	2014
4.11836E+22	15.36%	2	2014
4.12236E+22	14.71%	1	2014
4.13034E+22	19.76%	1	2007
4.15235E+22	35.80%	1	2012
4.15634E+22	19.65%	1	2008
4.16436E+22	17.09%	1	2013
4.17036E+22	17.15%	1	2014
4.17535E+22	32.58%	7	2011
4.17934E+22	11.70%	3	2007
4.18936E+22	28.32%	15	2012
4.19236E+22	25.72%	8	2013
4.20634E+22	16.44%	1	2008
4.20936E+22	13.84%	1	2014
4.22135E+22	29.59%	7	2010
4.22135E+22	9.33%	1	2011
4.22136E+22	9.84%	1	2013
4.22236E+22	14.71%	1	2014
4.23736E+22	14.21%	1	2014
4.24734E+22	31.37%	1	2008
4.26235E+22	19.42%	2	2011
4.26635E+22	35.64%	7	2011
4.28236E+22	23.87%	1	2013
4.28335E+22	25.49%	6	2011
4.29434E+22	11.19%	1	2007
4.30036E+22	35.80%	19	2012
4.30136E+22	13.19%	1	2013
4.30735E+22	12.43%	1	2012
4.31235E+22	38.06%	1	2010
4.32735E+22	20.71%	1	2012
4.33136E+22	24.21%	1	2013
4.33635E+22	12.63%	1	2011
4.34036E+22	27.46%	2	2012
4.34936E+22	23.87%	6	2013
4.36036E+22	14.86%	2	2013
4.37036E+22	18.91%	1	2013
4.37436E+22	19.50%	1	2013
4.38136E+22	28.90%	1	2013
4.39835E+22	35.64%	1	2011
4.40036E+22	21.29%	1	2013
4.40535E+22	20.20%	2	2011
4.43634E+22	14.94%	3	2008
4.45435E+22	35.80%	1	2012
4.45734E+22	17.68%	1	2008
4.48135E+22	29.51%	1	2011
4.49936E+22	20.05%	1	2013
4.50934E+22	16.93%	1	2008
4.52435E+22	17.36%	16	2012
4.53E+22	25.01%	1	2013
4.53636E+22	7.96%	1	2014
4.55736E+22	20.05%	1	2013
4.57135E+22	29.51%	1	2011
4.57535E+22	34.62%	2	2011
4.57935E+22	12.40%	1	2011
4.58935E+22	25.26%	7	2012
4.59436E+22	24.59%	1	2013
4.60035E+22	17.36%	1	2012
4.60235E+22	34.62%	3	2011
4.60736E+22	25.63%	7	2013
4.62335E+22	32.99%	13	2012
4.62535E+22	17.36%	13	2012
4.65136E+22	24.76%	19	2012
4.66336E+22	18.43%	1	2014
4.66836E+22	21.57%	1	2013
4.68735E+22	16.29%	2	2011
4.69036E+22	35.80%	6	2012
4.69835E+22	20.36%	2	2012
4.69934E+22	12.87%	4	2008
4.71536E+22	32.54%	1	2013
4.72836E+22	12.53%	13	2012
4.73734E+22	37.45%	1	2008
4.77836E+22	21.17%	1	2013
4.81035E+22	26.68%	6	2012
4.82035E+22	33.97%	1	2012
4.83036E+22	19.32%	1	2013
4.83936E+22	35.36%	1	2013
4.84936E+22	21.69%	1	2014
4.85136E+22	28.78%	1	2013
4.85934E+22	15.71%	1	2008
4.86136E+22	9.07%	1	2014
4.86735E+22	27.47%	1	2011
4.87935E+22	9.99%	3	2012
4.88135E+22	26.68%	1	2012
4.91136E+22	19.24%	1	2013
4.91436E+22	23.54%	1	2013
4.93534E+22	10.69%	7	2008
4.93534E+22	16.44%	7	2008
4.95636E+22	19.86%	1	2014
4.96736E+22	24.59%	1	2013
4.97136E+22	23.46%	1	2013
4.98336E+22	31.79%	1	2013
4.99036E+22	28.39%	19	2013
4.99336E+22	13.23%	1	2013
5.02935E+22	12.21%	1	2011
5.04335E+22	30.53%	3	2011
5.08936E+22	35.80%	1	2012
5.10936E+22	16.66%	1	2014
5.13036E+22	23.23%	1	2013
5.13134E+22	15.70%	3	2007
5.13234E+22	18.18%	3	2008
5.13934E+22	8.64%	4	2008
5.14436E+22	18.97%	1	2013
5.14835E+22	35.64%	3	2011
5.16436E+22	14.82%	1	2013
5.16836E+22	29.11%	2	2012
5.16936E+22	25.28%	1	2013
5.17736E+22	24.01%	1	2014
5.20936E+22	34.05%	1	2013
5.21335E+22	34.89%	2	2011
5.21736E+22	22.28%	1	2013
5.23335E+22	18.48%	8	2012
5.23636E+22	25.63%	1	2013
5.25235E+22	35.13%	1	2011
5.26135E+22	27.25%	1	2012
5.28535E+22	33.55%	3	2012
5.29634E+22	10.29%	3	2008
5.32436E+22	23.48%	1	2014
5.33536E+22	20.08%	2	2013
5.33935E+22	22.87%	7	2011
5.34235E+22	24.40%	1	2009
5.34535E+22	22.25%	3	2009
5.34935E+22	25.26%	8	2012
5.35436E+22	16.73%	1	2013
5.36635E+22	21.37%	1	2012
5.37236E+22	19.22%	1	2014
5.38434E+22	16.35%	7	2008
5.39035E+22	37.45%	7	2009
5.39336E+22	23.98%	1	2014
5.41134E+22	17.68%	4	2008
5.44736E+22	23.53%	1	2013
5.46636E+22	30.11%	1	2012
5.47036E+22	20.63%	1	2013
5.48236E+22	26.86%	1	2014
5.49336E+22	23.98%	1	2013
5.49435E+22	35.64%	2	2011
5.50335E+22	27.25%	1	2012
5.50835E+22	29.27%	7	2010
5.51836E+22	35.36%	1	2013
5.55236E+22	29.36%	13	2013
5.56336E+22	30.00%	1	2013
5.58036E+22	21.70%	1	2013
5.58236E+22	14.35%	1	2013
5.58735E+22	30.53%	1	2011
5.58736E+22	23.28%	1	2012
5.59436E+22	19.66%	1	2012
5.60036E+22	21.58%	1	2013
5.61334E+22	15.43%	1	2008
5.62E+22	27.25%	3	2012
5.62235E+22	35.84%	13	2012
5.63036E+22	16.50%	1	2013
5.63336E+22	21.65%	2	2014
5.68536E+22	16.80%	1	2013
5.69636E+22	16.52%	1	2012
5.69836E+22	21.65%	1	2014
5.72736E+22	15.75%	1	2012
5.72736E+22	14.71%	1	2014
5.74236E+22	20.81%	1	2013
5.75136E+22	19.03%	7	2014
5.76834E+22	13.81%	1	2008
5.78136E+22	24.76%	1	2013
5.79536E+22	28.13%	1	2013
5.80134E+22	37.45%	1	2008
5.81334E+22	8.38%	1	2008
5.83036E+22	35.36%	1	2013
5.83535E+22	20.20%	7	2011
5.83836E+22	14.86%	1	2013
5.85335E+22	25.26%	3	2012
5.87936E+22	20.05%	1	2012
5.88535E+22	7.18%	7	2010
5.89434E+22	36.95%	1	2008
5.90035E+22	22.87%	2	2011
5.90136E+22	29.84%	14	2012
5.91236E+22	18.91%	1	2014
5.97736E+22	25.10%	1	2013
5.98536E+22	21.57%	2	2013
6.00135E+22	30.53%	2	2011
6.01436E+22	24.76%	1	2012
6.01536E+22	23.72%	1	2012
6.02736E+22	20.40%	6	2013
6.02935E+22	17.97%	2	2012
6.06835E+22	11.77%	1	2011
6.07736E+22	23.12%	1	2013
6.08134E+22	37.45%	1	2008
6.08536E+22	26.13%	2	2013
6.09836E+22	26.33%	1	2013
6.11036E+22	8.58%	1	2012
6.12336E+22	26.70%	1	2013
6.13835E+22	11.30%	1	2010
6.17836E+22	35.80%	1	2012
6.17936E+22	19.68%	1	2013
6.19036E+22	25.32%	1	2014
6.19434E+22	13.20%	1	2007
6.19735E+22	23.48%	1	2011
6.22136E+22	26.15%	1	2014
6.22336E+22	26.53%	1	2012
6.25634E+22	29.33%	4	2008
6.26535E+22	6.89%	7	2010
6.27735E+22	11.77%	20	2012
6.28434E+22	37.45%	1	2008
6.28835E+22	17.36%	1	2012
6.30034E+22	20.64%	4	2008
6.30736E+22	22.69%	16	2012
6.32235E+22	35.29%	1	2012
6.32735E+22	24.25%	13	2012
6.33334E+22	18.18%	1	2008
6.34836E+22	12.69%	1	2013
6.35336E+22	26.53%	2	2013
6.35936E+22	15.83%	1	2013
6.36835E+22	33.55%	2	2012
6.37236E+22	29.34%	1	2013
6.38136E+22	14.35%	1	2013
6.38234E+22	12.45%	1	2008
6.42435E+22	16.06%	7	2011
6.47435E+22	35.64%	7	2011
6.48134E+22	23.50%	1	2008
6.49035E+22	12.40%	1	2011
6.49735E+22	9.99%	9	2012
6.53236E+22	33.97%	2	2012
6.54336E+22	21.03%	1	2012
6.54735E+22	26.68%	20	2012
6.55836E+22	17.52%	7	2013
6.56536E+22	20.93%	3	2014
6.58436E+22	30.29%	1	2013
6.60036E+22	15.22%	1	2013
6.60336E+22	21.34%	1	2014
6.62535E+22	22.46%	1	2012
6.62835E+22	12.51%	2	2011
6.62934E+22	6.83%	4	2008
6.63934E+22	12.70%	2	2008
6.64235E+22	30.53%	7	2011
6.66334E+22	37.45%	3	2008
6.67735E+22	35.80%	1	2012
6.68036E+22	34.05%	13	2013
6.69336E+22	8.33%	1	2013
6.69535E+22	10.03%	1	2009
6.70834E+22	28.48%	5	2008
6.70834E+22	18.39%	1	2008
6.70934E+22	37.45%	4	2008
6.71336E+22	28.39%	7	2013
6.71536E+22	20.52%	1	2014
6.73936E+22	18.20%	1	2013
6.74936E+22	14.75%	1	2014
6.75036E+22	24.04%	1	2013
6.76136E+22	23.87%	3	2013
6.77136E+22	16.29%	1	2013
6.79736E+22	20.52%	1	2014
6.80036E+22	16.48%	1	2014
6.80835E+22	35.64%	7	2011
6.82435E+22	38.72%	7	2010
6.83035E+22	35.80%	18	2012
6.87034E+22	10.45%	1	2008
6.88436E+22	35.80%	13	2012
6.90035E+22	12.43%	1	2012
6.90236E+22	20.46%	1	2013
6.90436E+22	26.68%	1	2012
6.92736E+22	18.19%	1	2012
6.94536E+22	18.91%	1	2013
6.95536E+22	24.25%	1	2013
6.95836E+22	22.88%	1	2013
6.96535E+22	29.51%	7	2011
6.96835E+22	34.89%	6	2011
6.97035E+22	8.33%	7	2011
6.97936E+22	13.30%	1	2013
6.99635E+22	38.06%	1	2010
7.00E+22	25.63%	7	2013
7.01336E+22	15.22%	1	2013
7.01536E+22	35.80%	1	2012
7.01536E+22	24.21%	1	2013
7.02636E+22	26.88%	1	2013
7.02935E+22	22.75%	3	2009
7.04636E+22	22.11%	1	2013
7.05336E+22	33.22%	1	2013
7.05434E+22	18.17%	7	2008
7.08035E+22	12.78%	1	2012
7.08036E+22	21.29%	1	2013
7.09335E+22	15.54%	1	2012
7.10335E+22	27.25%	1	2012
7.11135E+22	13.89%	1	2009
7.11536E+22	22.71%	7	2013
7.12035E+22	35.80%	13	2012
7.12734E+22	37.45%	1	2008
7.12836E+22	18.52%	1	2014
7.13535E+22	17.36%	1	2012
7.14035E+22	20.36%	7	2012
7.14534E+22	12.63%	3	2008
7.14736E+22	14.71%	1	2013
7.15336E+22	24.76%	1	2013
7.15635E+22	24.25%	7	2012
7.17736E+22	19.50%	1	2013
7.19435E+22	34.55%	3	2010
7.21436E+22	22.47%	20	2014
7.26036E+22	19.32%	1	2013
7.27435E+22	27.25%	2	2012
7.27734E+22	4.67%	1	2008
7.28535E+22	15.38%	7	2011
7.32536E+22	14.82%	1	2012
7.36936E+22	19.63%	1	2014
7.37136E+22	19.22%	1	2013
7.37736E+22	24.76%	2	2012
7.40136E+22	28.08%	2	2013
7.41935E+22	27.25%	14	2012
7.42635E+22	19.33%	1	2010
7.44535E+22	35.80%	19	2012
7.46934E+22	11.19%	2	2008
7.46935E+22	29.25%	6	2011
7.47036E+22	21.70%	1	2013
7.50535E+22	12.31%	7	2010
7.50535E+22	12.40%	2	2011
7.51436E+22	19.24%	6	2013
7.53336E+22	20.46%	1	2013
7.53835E+22	8.59%	1	2010
7.54936E+22	12.08%	1	2014
7.55436E+22	21.17%	1	2013
7.59936E+22	20.05%	6	2013
7.60236E+22	15.32%	1	2013
7.61036E+22	18.63%	1	2014
7.61836E+22	21.65%	1	2013
7.64535E+22	12.75%	5	2010
7.66434E+22	16.22%	1	2008
7.66834E+22	10.69%	2	2007
7.67436E+22	24.25%	1	2013
7.67634E+22	10.44%	7	2008
7.68335E+22	26.68%	7	2012
7.71236E+22	18.55%	1	2012
7.74936E+22	14.21%	1	2013
7.76035E+22	37.45%	3	2010
7.76136E+22	33.22%	2	2013
7.76335E+22	33.55%	1	2012
7.76736E+22	18.56%	2	2013
7.77535E+22	31.05%	1	2010
7.80134E+22	15.09%	7	2008
7.83336E+22	14.82%	1	2013
7.85E+22	7.22%	1	2010
7.85036E+22	24.61%	1	2013
7.86135E+22	18.75%	7	2011
7.86634E+22	17.12%	1	2008
7.88035E+22	29.59%	1	2010
7.88335E+22	12.40%	6	2011
7.88635E+22	22.87%	1	2011
7.88835E+22	11.30%	1	2010
7.90836E+22	22.69%	1	2013
7.94336E+22	35.80%	3	2012
7.94636E+22	18.21%	7	2013
7.95136E+22	23.87%	1	2013
7.96036E+22	22.69%	1	2013
7.96336E+22	31.98%	1	2014
7.96436E+22	17.18%	1	2012
7.98236E+22	27.31%	1	2013
7.99434E+22	20.93%	4	2008
7.99435E+22	12.40%	1	2011
8.01336E+22	17.06%	1	2013
8.01636E+22	21.57%	1	2013
8.02735E+22	34.89%	7	2011
8.02835E+22	25.42%	1	2011
8.03335E+22	29.51%	1	2011
8.07636E+22	35.80%	15	2012
8.08935E+22	35.80%	2	2012
